【合租】常营 北辰福第 3室次卧,北辰福第,2280,http://bj.58.com/pinpaigongyu/27976799736506x.shtml,116.607232,39.934441
【合租】回龙观 领秀慧谷C区 3室主卧,领秀慧谷C区,2490,http://bj.58.com/pinpaigongyu/28245747528762x.shtml,116.31051,40.106353
【整租】高碑店 柒号大厦 1室1厅,柒号大厦,3100,http://bj.58.com/pinpaigongyu/28278600226476x.shtml,116.544814,39.903626
【合租】双井 广渠路46号 2室次卧,广渠路46号,3890,http://bj.58.com/pinpaigongyu/28245736164290x.shtml,116.470953,39.899038
【整租】百子湾 百子湾家园 1室1厅,百子湾家园,1900,http://bj.58.com/pinpaigongyu/28078959753679x.shtml,116.517744,39.905162
【合租】梨园 华业东方玫瑰 3室次卧,华业东方玫瑰,1700,http://bj.58.com/pinpaigongyu/28256025838014x.shtml,116.69119,39.887199
【合租】管庄 瑞祥里 3室次卧,瑞祥里,2160,http://bj.58.com/pinpaigongyu/28276967837644x.shtml,116.61792,39.916174
【整租】物资学院路 慧合公寓 1室1厅,【整租】物资学院路,3960,http://bj.58.com/pinpaigongyu/27933681670984x.shtml,116.641851,39.929019
【合租】定福庄 珠江绿洲家园 4室主卧,珠江绿洲家园,3900,http://bj.58.com/pinpaigongyu/28121738975926x.shtml,116.565639,39.913915
【合租】物资学院路 慧合公寓 3室主卧,【合租】物资学院路,2260,http://bj.58.com/pinpaigongyu/28102344191541x.shtml,116.641851,39.929019
【整租】高碑店 青遇HoMe 1室1厅,青遇HoMe,2300,http://bj.58.com/pinpaigongyu/27979904931526x.shtml,116.564298,39.904263
【整租】百子湾 通盛公寓 1室0厅,【整租】百子湾,1800,http://bj.58.com/pinpaigongyu/28011048654400x.shtml,116.52958,39.88927
【合租】物资学院路 新建村 3室主卧,新建村,1880,http://bj.58.com/pinpaigongyu/27903584594746x.shtml,116.6486,39.934318
【整租】亦庄 蜂客公寓 1室0厅,【整租】亦庄,2880,http://bj.58.com/pinpaigongyu/28043847889343x.shtml,116.530683,39.800095
【合租】姚家园 姚家园西里5号院 3室主卧,姚家园西里5号院,2580,http://bj.58.com/pinpaigongyu/28044637198145x.shtml,116.522258,39.952402
【合租】亦庄 南海家园三里 3室主卧,南海家园三里,1260,http://bj.58.com/pinpaigongyu/28120834651084x.shtml,116.502194,39.76899
【整租】高碑店 亚北青社区 1室1厅,亚北青社区,3000,http://bj.58.com/pinpaigongyu/28135754983111x.shtml,116.54582,39.903765
【合租】双桥 朝阳旺角 3室主卧,朝阳旺角,2300,http://bj.58.com/pinpaigongyu/27825603380788x.shtml,116.59396,39.911931
【合租】西二旗 融泽嘉园6号院 2室主卧,融泽嘉园6号院,2180,http://bj.58.com/pinpaigongyu/28253191213755x.shtml,116.318452,40.071739
【整租】亦庄 好客公寓（荣京东 1室0厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27849798553656x.shtml,116.518942,39.804259
